subject,combo,condition,window_number,F1,F3,C3,P3,O1,F7,T3,T5,Fz,Cz,Pz,Oz,T6,T4,F8,O2,P4,C4,F4,F2,OPTO
30_01,c3,oc,1951,0.9740003047755166,0.9144389515780162,0.9309362053927435,0.9278834163389469,0.9798842667874191,0.969489029103522,0.9778189280263102,0.9474974848637054,0.8858315587154459,0.9751084057847307,0.9869955979337702,0.9370529396140582,0.9863047680050453,0.9775101512277538,0.9737925705681107,0.9676119729435371,0.9596462901527135,0.9803991812376215,0.9544163481578374,0.9827326411847996,0.6928762437426866
30_01,c3,oc,2016,0.9740887705077463,0.9140890081576787,0.9245478157692291,0.9300623660171379,0.9673240326288028,0.9582572153810398,0.9692403897597424,0.9387411872028103,0.9005974584267353,0.9758379128325031,0.9779105652341145,0.9379766790448129,0.9855316496428836,0.9834600207574267,0.9737669424348071,0.9668132994016834,0.9613691814057727,0.9816925542747762,0.9407111076747104,0.980927654781892,0.6622085559439566
30_01,c3,oc,2081,0.9704585017194249,0.9213298871542307,0.9254536176066123,0.9174673516933077,0.9608176086618849,0.9537376633651095,0.9568729804819242,0.9272152533021809,0.906031046256412,0.9676855636843772,0.9722623749968129,0.9289705219454458,0.9814676216164192,0.9870992137954837,0.9767585561840193,0.9538048696753592,0.9570520055082259,0.9799798800167233,0.9283071643867974,0.97535670498495,0.6549306865064173
30_01,c3,oc,2146,0.9495628435566976,0.9195638856843511,0.925835196053157,0.9101693159930836,0.9530879640749604,0.9480902888385246,0.9623347200349481,0.919940516432943,0.9109230474952535,0.9576112641947676,0.9535112071039853,0.9049067783721517,0.9788553265868063,0.9822203020010906,0.9723847950550638,0.9373193847791476,0.9417161666548085,0.9789768555977298,0.9235268580959834,0.9794883778009095,0.68661284376351
30_01,c3,oc,2211,0.9407592570400246,0.9129329201688718,0.9162373001965506,0.9099164349498473,0.9459060005734935,0.935770219855085,0.9594296781018173,0.9324536877574421,0.8967632407071705,0.9565217701142398,0.9482456068307302,0.9106495984778213,0.9727528674619538,0.9801618079063011,0.9804776900350116,0.9319877109678841,0.929593277200624,0.9778590196008916,0.9299050002495228,0.985447504389479,0.6683057731553839
30_01,c3,oc,2276,0.9440783736963803,0.9162417593074023,0.9286289887650173,0.9001658380520713,0.9439287573714005,0.9356907305795812,0.9688939140914445,0.948547074681351,0.8981578824718964,0.9704013068610089,0.9549733652346823,0.926263274670674,0.9731762314677838,0.9891334806567688,0.990508366401503,0.9379190782340128,0.9386033566683242,0.9749474542392176,0.941829094937835,0.9887414004279331,0.7186574959673574
30_01,c3,oc,2341,0.9378459162412783,0.8979489365195876,0.9378687434082708,0.9295796803424007,0.9532249620800625,0.9356338730235432,0.9844848960268007,0.9541637336523344,0.877437157056423,0.9767804131189128,0.9608993953785971,0.9423908937900636,0.9646638213827063,0.9834896498291055,0.9880802258156026,0.9501192417258877,0.9458513291304474,0.9609209158980112,0.9489099592010102,0.9861224644613427,0.7397476435060859
30_01,c3,oc,2406,0.9274922439312132,0.9023403782920362,0.9372637229085488,0.9336221089289731,0.9611291669594093,0.918277490900163,0.9790289339558893,0.9637717656914152,0.8745803827221194,0.9790567260108332,0.967573715041234,0.9515607059102195,0.970724912508924,0.9773158583891641,0.9841332167255206,0.9640835440849135,0.9539608496200428,0.9618272876402744,0.959585682434132,0.9853710116751323,0.776769014131584
30_01,c3,oc,2471,0.9319507068162614,0.9097058015071326,0.9379843937594083,0.9372039949942276,0.9728163931017207,0.9199592507949684,0.9733235629800033,0.9726797788218684,0.8812273742616245,0.9836054664903084,0.9723522559348043,0.9681959695018658,0.9679821237314634,0.9737934754142473,0.9816292843008277,0.964647386793201,0.9563422278346633,0.9501220053874091,0.9578665031462833,0.9867013379811789,0.7635172171476463
30_01,c3,oc,2536,0.9434264988116094,0.9189777863404923,0.943313723641776,0.9273922360569548,0.9755524800089415,0.9437575405836423,0.9721807728428796,0.9691204836982358,0.9038135839554309,0.9814548510574562,0.9714098484217335,0.9743854024044892,0.9572104862406708,0.974780469273458,0.9796192084310739,0.9650923325251273,0.9590443032549075,0.9561867240621856,0.9739339867857075,0.9843073236938172,0.7770972509657693
30_01,c3,oc,2601,0.9588391425747985,0.9047848718481056,0.929145491058151,0.9310656984191443,0.9786434168526085,0.9451993655034092,0.9654381042018402,0.9679322123410805,0.9039690058613834,0.9696954556879536,0.9580397192844814,0.9635120430859955,0.9472411964726198,0.9682666804442474,0.9710771290064062,0.9456465213305152,0.9415319648028657,0.9603000899730038,0.9693376292887554,0.9841484174708929,0.75326638245884
30_01,c3,oc,2666,0.9531712936759267,0.9043107664933986,0.9196510010085861,0.9001951989894655,0.9781802440490347,0.9483099896798173,0.9509789258933566,0.9628729805553562,0.9150149534966469,0.9701900395529075,0.9577479035893114,0.9537180974200763,0.9587324083529982,0.9770418230313643,0.9752209931010444,0.9317670662325174,0.9199885655594483,0.971540532853614,0.9696914641093871,0.9783032683946714,0.779686514634875
